"RegionCode","Default Region Name"
"BKM","Buckinghamshire"
"CAM","Cambridgeshire"
"CMA","Cumbria"
"DBY","Derbyshire"
"DEV","Devon"
"DOR","Dorset"
"ESX","East Sussex"
"ESS","Essex"
"GLS","Gloucestershire"
"HAM","Hampshire"
"HRT","Hertfordshire"
"KEN","Kent"
"LAN","Lancashire"
"LEC","Leicestershire"
"LIN","Lincolnshire"
"NFK","Norfolk"
"NYK","North Yorkshire"
"NTH","Northamptonshire"
"NTT","Nottinghamshire"
"OXF","Oxfordshire"
"SOM","Somerset"
"STS","Staffordshire"
"SFK","Suffolk"
"SRY","Surrey"
"WAR","Warwickshire"
"WSX","West Sussex"
"WOR","Worcestershire"
"BDG","Barking and Dagenham"
"BNE","Barnet"
"BEX","Bexley"
"BEN","Brent"
"BRY","Bromley"
"CMD","Camden"
"CRY","Croydon"
"EAL","Ealing"
"ENF","Enfield"
"GRE","Greenwich"
"HCK","Hackney"
"HMF","Hammersmith and Fulham"
"HRY","Haringey"
"HRW","Harrow"
"HAV","Havering"
"HIL","Hillingdon"
"HNS","Hounslow"
"ISL","Islington"
"KEC","Kensington and Chelsea"
"KTT","Kingston upon Thames"
"LBH","Lambeth"
"LEW","Lewisham"
"MRT","Merton"
"NWM","Newham"
"RDB","Redbridge"
"RIC","Richmond upon Thames"
"SWK","Southwark"
"STN","Sutton"
"TWH","Tower Hamlets"
"WFT","Waltham Forest"
"WND","Wandsworth"
"WSM","Westminster"
"BNS","Barnsley"
"BIR","Birmingham"
"BOL","Bolton"
"BRD","Bradford"
"BUR","Bury"
"CLD","Calderdale"
"COV","Coventry"
"DNC","Doncaster"
"DUD","Dudley"
"GAT","Gateshead"
"KIR","Kirklees"
"KWL","Knowsley"
"LDS","Leeds"
"LIV","Liverpool"
"MAN","Manchester"
"NET","Newcastle upon Tyne"
"NTY","North Tyneside"
"OLD","Oldham"
"RCH","Rochdale"
"ROT","Rotherham"
"SHN","St. Helens"
"SLF","Salford"
"SAW","Sandwell"
"SFT","Sefton"
"SHF","Sheffield"
"SOL","Solihull"
"STY","South Tyneside"
"SKP","Stockport"
"SND","Sunderland"
"TAM","Tameside"
"TRF","Trafford"
"WKF","Wakefield"
"WLL","Walsall"
"WGN","Wigan"
"WRL","Wirral"
"WLV","Wolverhampton"
"BAS","Bath and North East Somerset"
"BBD","Blackburn with Darwen"
"BDF","Bedford"
